Title,Link,Download_date
Putin se omluvil kvůli pádu ázerbájdžánského letadla,https://www.novinky.cz/clanek/zahranicni-evropa-putin-se-omluvil-kvuli-padu-azerbajdzanskeho-letadla-40502487,2024-12-29
"Loutkář, nebo filantrop? O miliardáři Sorosovi mají konspirátoři jasno",https://www.novinky.cz/clanek/podcasty-retezak-loutkar-nebo-filantrop-o-miliardari-sorosovi-maji-konspiratori-jasno-40501841,2024-12-29
Poslední Silvestr s rachejtlemi? Pravidla pro odpalování i prodej se mají zpřísnit,https://www.novinky.cz/clanek/ekonomika-posledni-silvestr-s-rachejtlemi-pravidla-pro-odpalovani-i-prodej-se-maji-zprisnit-40502304,2024-12-29
OBRAZEM: Přece se nebudeme dusit dole. Tisíce lidí utekly před smogem na Lysou horu,https://www.novinky.cz/clanek/domaci-zpravy-moravskoslezsky-kraj-prece-se-nebudeme-dusit-dole-tisice-lidi-utekly-pred-smogem-na-lysou-horu-40502495,2024-12-29
"Americký dárce 4 milionů je pro Lidice záhadou, stal se zdejším hrdinou",https://www.novinky.cz/clanek/domaci-zpravy-stredocesky-kraj-americky-darce-4-milionu-je-pro-lidice-zahadou-stal-se-zdejsim-hrdinou-40501368,2024-12-29
Policista unikl odsouzení za držení zakázaných anabolik,https://www.novinky.cz/clanek/krimi-policista-unikl-odsouzeni-za-drzeni-zakazanych-anabolik-40502020,2024-12-29
"Bohatství, které je tu v roce 2025 pro každého",https://www.novinky.cz/clanek/lifestyle-sex-vztahy-bohatstvi-ktere-je-tu-v-roce-2025-pro-kazdeho-40501882,2024-12-29
"Příběh Adama: Vzbudil jsem se a farář mi ležel v rozkroku. Policii zajímalo, jestli jsem gay",https://www.novinky.cz/clanek/podcasty-pod-svicnem-pribeh-adama-vzbudil-jsem-se-a-farar-mi-lezel-v-rozkroku-policii-zajimalo-jestli-jsem-gay-40501152,2024-12-29
Teslu bez pedálů a volantu lze řídit ovladačem herní konzole,https://www.novinky.cz/clanek/auto-teslu-bez-pedalu-a-volantu-lze-ridit-ovladacem-herni-konzole-40502357,2024-12-29
"Na Slovensku umírají psi v zoufalých podmínkách, nejhorší situace je na východě země u osad, pomáhají i Češi",https://www.novinky.cz/clanek/domaci-na-slovensku-umiraji-psi-v-zoufalych-podminkach-nejhorsi-situace-je-na-vychode-zeme-u-osad-pomahaji-i-cesi-40502450,2024-12-29
"Gazprom od ledna zastaví vývoz plynu do Moldavska kvůli dluhu, odnese to Podněstří",https://www.novinky.cz/clanek/zahranicni-evropa-gazprom-od-ledna-zastavi-vyvoz-plynu-do-moldavska-kvuli-dluhu-odnese-to-podnestri-40502497,2024-12-29
"Zemřel Osamu Suzuki, japonskou automobilku vedl více než 40 let",https://www.novinky.cz/clanek/auto-zemrel-osamu-suzuki-japonskou-automobilku-vedl-vice-nez-40-let-40502479,2024-12-29
"Opilec si v Bavorsku spletl dům. Když přijeli policisté, udiveně se ptal, co dělají v jeho bytě",https://www.novinky.cz/clanek/koktejl-opilec-si-v-bavorsku-spletl-dum-kdyz-prijeli-policiste-udivene-se-ptal-co-delaji-v-jeho-byte-40502441,2024-12-29
"Garance pro Ukrajinu jsou iluzí, řekl analytik",https://www.novinky.cz/clanek/podcasty-zbytecna-valka-garance-pro-ukrajinu-jsou-iluzi-rekl-analytik-40501903,2024-12-29
Rammstein zvou do zákulisí. Dokument vznikal pět let,https://www.novinky.cz/clanek/kultura-hudba-rammstein-zvou-do-zakulisi-dokument-vznikal-pet-let-40502428,2024-12-29
Nebezpečný dropper útočí v Česku stále častěji,https://www.novinky.cz/clanek/internet-a-pc-bezpecnost-nebezpecny-dropper-utoci-v-cesku-stale-casteji-40502490,2024-12-29
"Zemřela herečka Olivia Husseyová, slavná filmová Julie",https://www.novinky.cz/clanek/kultura-zemrela-herecka-olivia-husseyova-slavna-filmova-julie-40502480,2024-12-29
KOMENTÁŘ: Rok 2024 nás zavedl do nebezpečného území – Tomáš Klvaňa,https://www.novinky.cz/clanek/komentare-komentar-rok-2024-nas-zavedl-do-nebezpecneho-uzemi-tomas-klvana-40502291,2024-12-29
Test Hyundai i30 Kombi: Staromódní auto pro moderní časy,https://www.novinky.cz/clanek/auto-automoto-testy-test-hyundai-i30-kombi-staromodni-auto-pro-moderni-casy-40501230,2024-12-29
Malé dítě bylo desítky centimetrů od pádu do kráteru aktivního vulkánu,https://www.novinky.cz/clanek/zahranicni-amerika-male-dite-bylo-desitky-centimetru-od-padu-do-krateru-aktivniho-vulkanu-40502502,2024-12-29
KOMENTÁŘ: Poselství vánočního roje balistických střel - Adéla Knapová,https://www.novinky.cz/clanek/komentare-komentar-poselstvi-vanocniho-roje-balistickych-strel-adela-knapova-40502466,2024-12-29
KOMENTÁŘ: Dárek od Putina - Alex Švamberk,https://www.novinky.cz/clanek/komentare-komentar-darek-od-putina-alex-svamberk-40502415,2024-12-29
Na kurty už ne! Tenisová superstar očekává narození druhého potomka. Oznámila to stylově…,https://www.sport.cz/clanek/tenis-na-kurty-uz-ne-tenisova-superstar-ocekava-narozeni-druheho-potomka-oznamila-to-stylove-5042838,2024-12-29
Tři hattricky a nejvyšší výhra v dějinách! Češi zničili outsidera nevídaným způsobem,https://www.sport.cz/clanek/hokej-u20-ms-druha-vyzva-pro-dvacitku-ceka-ji-outsider-skupiny-a-velka-neznama-5042853,2024-12-29
Po nebezpečném bankovním trojském koni se slehla zem,https://www.novinky.cz/clanek/internet-a-pc-bezpecnost-po-nebezpecnem-bankovnim-trojskem-koni-se-slehla-zem-40502397,2024-12-29
Schyluje se k bitvě o strategický Pokrovsk. Ukrajinci přesouvají tanky a houfnice,https://www.novinky.cz/clanek/valka-na-ukrajine-schyluje-se-k-bitve-o-strategicky-pokrovsk-ukrajinci-presouvaji-tanky-a-houfnice-40502474,2024-12-29
Zvolení Václava Havla prezidentem bylo tak trochu zázrak - v roce zázraků,https://www.novinky.cz/clanek/historie-zvoleni-vaclava-havla-prezidentem-bylo-tak-trochu-zazrak-v-roce-zazraku-40502418,2024-12-29
"Povodně, asteroid i mor v Anglii. Nostradamus líčí rok 2025 jako katastrofický",https://www.novinky.cz/clanek/koktejl-povodne-asteroid-i-mor-v-anglii-nostradamus-lici-rok-2025-jako-katastroficky-40502508,2024-12-29
