Title,Link,Download_date
"Zima v jihlavské zoo: kočkodan se drží v teple, plameňáci vydrží i minus deset",https://www.novinky.cz/clanek/koktejl-zima-v-jihlavske-zoo-kockodan-se-drzi-v-teple-plamenaci-vydrzi-i-minus-deset-40509868,2025-02-20-19-37
Kvůli číhošťskému zázraku komunisté uštvali nejen pátera Toufara,https://www.novinky.cz/clanek/historie-kvuli-cihostskemu-zazraku-komuniste-ustvali-nejen-patera-toufara-40509823,2025-02-20-19-37
"Přešli jsme na rychlost Číny, říká šéf Renaultu o vývoji elektrické dacie za 450 tisíc",https://www.novinky.cz/clanek/auto-presli-jsme-na-rychlost-ciny-rika-sef-renaultu-o-vyvoji-elektricke-dacie-za-450-tisic-40509951,2025-02-20-19-37
EXPRESS NOVINEK: 31 dnů světa podle Trumpa,https://www.novinky.cz/clanek/podcasty-express-express-novinek-31-dnu-sveta-podle-trumpa-40509851,2025-02-20-19-37
Špičkové herní grafiky v obchodech stále chybí. Kdy se situace zlepší?,https://www.novinky.cz/clanek/internet-a-pc-hardware-spickove-herni-grafiky-v-obchodech-stale-chybi-kdy-se-situace-zlepsi-40509878,2025-02-20-19-37
Selhaly brzdy. Trosky Muskovy rakety spadly v Polsku do obydlené oblasti,https://www.novinky.cz/clanek/veda-skoly-selhaly-brzdy-trosky-muskovy-rakety-spadly-v-polsku-do-obydlene-oblasti-40509895,2025-02-20-19-37
"Čím jezdíte do práce, zpovídají velké firmy v Česku zaměstnance. Souvisí to se směrnicí EU",https://www.novinky.cz/clanek/ekonomika-cim-jezdite-do-prace-zpovidaji-velke-firmy-v-cesku-zamestnance-souvisi-to-se-smernici-eu-40509574,2025-02-20-19-37
Před 20 lety vstoupil v platnost Kjótský protokol o snížení emisí. Ambice se nenaplnily,https://www.novinky.cz/clanek/historie-pred-20-lety-vstoupil-v-platnost-kjotsky-protokol-o-snizeni-emisi-ambice-se-nenaplnily-40509114,2025-02-20-19-37
"Americký veterán, který zlikvidoval bin Ládina, si založil obchod s marihuanou",https://www.novinky.cz/clanek/koktejl-americky-veteran-ktery-zlikvidoval-bin-ladina-si-zalozil-obchod-s-marihuanou-40509675,2025-02-20-19-37
Pavel: Pojetí demokracie v Americe a Evropě se začíná docela výrazně lišit,https://www.novinky.cz/clanek/domaci-pavel-pojeti-demokracie-v-americe-a-evrope-se-zacina-docela-vyrazne-lisit-40509922,2025-02-20-19-37
Musk nechal vyrazit experty na ptačí chřipku. Úřady je kvůli nedostatku vajec zase nabírají zpět,https://www.novinky.cz/clanek/ekonomika-musk-nechal-vyrazit-experty-na-ptaci-chripku-urady-je-kvuli-nedostatku-vajec-zase-nabiraji-zpet-40509880,2025-02-20-19-37
"Křižovatka v Litomyšli doznala úprav, přispěla k nim smrtelná nehoda na přechodu",https://www.novinky.cz/clanek/domaci-zpravy-pardubicky-kraj-krizovatka-v-litomysli-doznala-uprav-prispela-k-nim-smrtelna-nehoda-na-prechodu-40509924,2025-02-20-19-37
"Rodina, co přebíhala v Zábřehu trať před rozjetým pendolinem, dostala pokutu",https://www.novinky.cz/clanek/domaci-zpravy-olomoucky-kraj-rodina-co-prebihala-v-zabrehu-trat-pred-rozjetym-pendolinem-dostala-pokutu-40509935,2025-02-20-19-37
I dodávka může vypadat nevšedně. Produkční Kia PV5 se od futuristického konceptu téměř neliší,https://www.novinky.cz/clanek/auto-i-dodavka-muze-vypadat-nevsedne-produkcni-kia-pv5-se-od-futuristickeho-konceptu-temer-nelisi-40509861,2025-02-20-19-37
"Víno v plechovce se líbí mladým, konzervativci ho ale odmítají",https://www.novinky.cz/clanek/ekonomika-vino-v-plechovce-se-libi-mladym-konzervativci-ho-ale-odmitaji-40509699,2025-02-20-19-37
KSČM ukončila členství exposlanci Dolejšovi,https://www.novinky.cz/clanek/domaci-kscm-ukoncila-clenstvi-exposlanci-dolejsovi-40509986,2025-02-20-19-37
"Čína u Tchaj-wanu nepořádá manévry, ale nacvičuje vylodění, varoval americký admirál",https://www.novinky.cz/clanek/zahranicni-svet-cina-u-tchaj-wanu-neporada-manevry-ale-nacvicuje-vylodeni-varoval-americky-admiral-40509952,2025-02-20-19-37
Reportáž: S Orhanem Pamukem (nejen) v jeho sběratelském světě,https://www.novinky.cz/clanek/kultura-knihy-reportaz-s-orhanem-pamukem-nejen-v-jeho-sberatelskem-svete-40509914,2025-02-20-19-37
Populární španělská destinace chystá na sezonu povinné večerky,https://www.novinky.cz/clanek/cestovani-popularni-spanelska-destinace-chysta-na-sezonu-povinne-vecerky-40509289,2025-02-20-19-37
"Špína a zmar. Dům na Žatecku, ve kterém muž věznil a znásilňoval ženu, vzbuzuje hrůzu",https://www.novinky.cz/clanek/krimi-spina-a-zmar-dum-na-zatecku-ve-kterem-muz-veznil-a-znasilnoval-zenu-vzbuzuje-hruzu-40509964,2025-02-20-19-37
V Mexiku zrestaurovali a znovu vystavili dlouho ztracenou antifašistickou nástěnnou malbu,https://www.novinky.cz/clanek/historie-v-mexiku-zrestaurovali-a-znovu-vystavili-dlouho-ztracenou-antifasistickou-nastennou-malbu-40509529,2025-02-20-19-37
"Očima Saši Mitrofanova: Na lodi, na dohled ledovce",https://www.novinky.cz/clanek/komentare-ocima-sasi-mitrofanova-na-lodi-na-dohled-ledovce-40509934,2025-02-20-19-37
S opravou poškozené střechy baziliky na Vyšehradě může pomoci veřejnost,https://www.novinky.cz/clanek/domaci-zpravy-hlavni-mesto-praha-s-opravou-poskozene-strechy-baziliky-na-vysehrade-muze-pomoci-verejnost-40509944,2025-02-20-19-37
Očima Saši Mitrofanova: Evropa hledá lídry? Máme. Doma a u sousedů,https://www.novinky.cz/clanek/komentare-ocima-sasi-mitrofanova-evropa-hleda-lidry-mame-doma-a-u-sousedu-40509543,2025-02-20-19-37
"Celé jsem to zkazil. Hornig se všem omlouval, čeští biatlonisté chmurnou bilanci neprolomili",https://www.sport.cz/clanek/zimni-sporty-biatlon-ms-online-stafety-dvojic-5090156,2025-02-20-19-37
Na Slovácku mají důvod k radosti. Vinařem roku je Štěpán Maňák z Žádovic u Kyjova,https://www.novinky.cz/clanek/gastro-na-slovacku-maji-duvod-k-radosti-vinarem-roku-je-stepan-manak-z-zadovic-u-kyjova-40509817,2025-02-20-19-37
S inkontinencí po odstranění prostaty pomohou umělé svěrače nové generace. Implantují je v Olomouci,https://www.novinky.cz/clanek/zdravi-s-inkontinenci-po-odstraneni-prostaty-pomohou-umele-sverace-nove-generace-implantuji-je-v-olomouci-40509743,2025-02-20-19-37
Bílý dům zveřejnil obrázek „krále“ Trumpa s korunou na hlavě. A na sítích přibývají další,https://www.novinky.cz/clanek/koktejl-bily-dum-zverejnil-obrazek-krale-trumpa-s-korunou-na-hlave-a-na-sitich-pribyvaji-dalsi-40509857,2025-02-20-19-37
"Dokud je válka, volby si nepřeje 63 % Ukrajinců",https://www.novinky.cz/clanek/valka-na-ukrajine-dokud-je-valka-volby-si-nepreje-63-ukrajincu-40509940,2025-02-20-19-37
Ohrožené Olomouci chybí lídři i zkušenosti. A zavedení výzvy na ofsajd má mouchy,https://www.sport.cz/clanek/podcasty-za-mantinelem-ohrozene-olomouci-chybi-lidri-i-zkusenosti-a-zavedeni-vyzvy-na-ofsajd-ma-mouchy-5090432,2025-02-20-19-37
Očima Saši Mitrofanova: Sami doma,https://www.novinky.cz/clanek/komentare-ocima-sasi-mitrofanova-sami-doma-40509284,2025-02-20-19-37
Fantom vykrádal trafiky po celé republice. Škody přesáhly milion a půl,https://www.novinky.cz/clanek/krimi-fantom-vykradal-trafiky-po-cele-republice-skody-presahly-milion-a-pul-40509990,2025-02-20-19-37
"Ukrajina musí přestat s kritikou USA a schválit naše práva na vzácné nerosty, uvedl Trumpův poradce",https://www.novinky.cz/clanek/zahranicni-amerika-ukrajina-musi-prestat-s-kritikou-usa-a-schvalit-americka-prava-na-vzacne-nerosty-40509943,2025-02-20-19-37
V Egyptě objevili první královskou hrobku od nálezu místa posledního odpočinku faraona Tutanchamona,https://www.novinky.cz/clanek/veda-skoly-v-egypte-objevili-prvni-kralovskou-hrobku-od-nalezu-mista-posledniho-odpocinku-faraona-tutanchamona-40509976,2025-02-20-19-37
Policie prověřuje napadení učitelky v dětském domově na Liberecku,https://www.novinky.cz/clanek/krimi-policie-proveruje-napadeni-ucitelky-v-detskem-domove-na-liberecku-40509949,2025-02-20-19-37
HOKEJ ONLINE: Plzeň opět skóruje. Slepenými góly se dostává do vedení,https://www.sport.cz/clanek/hokej-extraliga-videomomenty-z-utkani-kladno-plzen-5090166,2025-02-20-19-37
"FOTO: Beton, sklo a piškoty. Baletky brněnského Národního divadla pózovaly v Dubaji",https://www.novinky.cz/clanek/kultura-divadlo-foto-beton-sklo-a-piskoty-baletky-brnenskeho-narodniho-divadla-pozovaly-v-dubaji-40509853,2025-02-20-19-37
Po vlně SUV chystá Volvo i novou limuzínu. ES90 je k vidění na první upoutávce,https://www.novinky.cz/clanek/auto-po-vlne-suv-chysta-volvo-i-novou-limuzinu-es90-je-k-videni-na-prvni-upoutavce-40509912,2025-02-20-19-37
"Koncesionářské poplatky jako dálniční známky, navrhuje Nacher",https://www.novinky.cz/clanek/domaci-koncesionarske-poplatky-jako-dalnicni-znamky-navrhuje-nacher-40509591,2025-02-20-19-37
"Vliv domácího násilí na imunitu: Obětem způsobuje poruchy, pachatelům dělá dobře",https://www.novinky.cz/clanek/podcasty-pod-svicnem-vliv-domaciho-nasili-na-imunitu-obetem-zpusobuje-poruchy-pachatelum-dela-dobre-40509725,2025-02-20-19-37
Šestnáctiletého útočníka z Hradce obvinili z dvojnásobné vraždy,https://www.novinky.cz/clanek/krimi-utocnik-z-hradce-obvinen-z-dvojnasobne-vrazdy-40509999,2025-02-20-19-37
Kvantové počítače jsou na dosah ruky. Čip od Microsoftu musí být chladnější než vesmír,https://www.novinky.cz/clanek/internet-a-pc-hardware-kvantove-pocitace-jsou-na-dosah-ruky-cip-od-microsoftu-musi-byt-chladnejsi-nez-vesmir-40509870,2025-02-20-19-37
Jak uvařit dokonalé vejce? Vědci přišli s překvapivým způsobem přípravy. Trvá půl hodiny,https://www.novinky.cz/clanek/gastro-jak-uvarit-dokonale-vejce-vedci-prisli-s-prekvapivym-zpusobem-pripravy-trva-pul-hodiny-40509840,2025-02-20-19-37
Zfetovaný muž ohrožoval v Havířově na radnici úředníky i strážníky sponou do vlasů,https://www.novinky.cz/clanek/krimi-zfetovany-muz-ohrozoval-v-havirove-na-radnici-uredniky-i-strazniky-40509967,2025-02-20-19-37
Krvavé boje o Iwodžimu. Fotka s vlajkou se později stala symbolem války,https://www.novinky.cz/clanek/historie-druha-svetova-valka-krvave-boje-o-iwodzimu-fotka-s-vlajkou-se-pozdeji-stala-symbolem-valky-40509288,2025-02-20-19-37
RECENZE: Ickeova Oresteia jako psychoterapie,https://www.novinky.cz/clanek/kultura-divadlo-recenze-ickeova-oresteia-jako-psychoterapie-40509879,2025-02-20-19-37
V Moskvě vyhořel legendární výzkumný institut,https://www.novinky.cz/clanek/zahranicni-evropa-v-moskve-vyhorel-legendarni-vyzkumny-institut-40509971,2025-02-20-19-37
"Neříkejte tomu ruská agrese, žádají USA skupinu G7",https://www.novinky.cz/clanek/valka-na-ukrajine-nerikejte-tomu-ruska-agrese-zada-usa-skupinu-g7-40509957,2025-02-20-19-37
